source,target
AstraZeneca,"Ramaswamy, Vivek"
AstraZeneca,"Dunn, Harry"
AstraZeneca,1776 Project
AstraZeneca,"Murphy, Tammy"
AstraZeneca,"Hawley, Josh"
AstraZeneca,"Gaetz, Matt"
AstraZeneca,"Porter, Katie"
AstraZeneca,"Kim, Andy"
AstraZeneca,"Cruz, Ted"
AstraZeneca,"Altman, Sue"
AstraZeneca,"Sanders, Bernie"
AstraZeneca,"Engel, Kirsten"
AstraZeneca,New Jersey Republican State Cmte
AstraZeneca,"Garvey, Steve"
AstraZeneca,Human Rights Campaign Equality Votes
AstraZeneca,"Figures, Shomari"
AstraZeneca,"Randall, Emily"
AstraZeneca,Democratic State Central Cmte/Maryland
AstraZeneca,"Lofgren, Zoe"
AstraZeneca,"Mehta, Leslie"
AstraZeneca,"Feuer, Michael"
AstraZeneca,"Goodlander, Maggie"
AstraZeneca,"Gereghty, Liz"
AstraZeneca,DASS PAC
AstraZeneca,"Castor, Kathy"
AstraZeneca,"Fulcher, Russ"
AstraZeneca,"Marlinga, Carl"
AstraZeneca,"Swartz, Jessica"
AstraZeneca,"Huffman, John"
AstraZeneca,"Fetterman, John"
AstraZeneca,"Kaplan, Anna"
AstraZeneca,"Rubio, Marco"
AstraZeneca,Movement Voter PAC
AstraZeneca,PAC to the Future
AstraZeneca,"Tlaib, Rashida"
AstraZeneca,"Elfreth, Sarah"
AstraZeneca,"Frisch, Adam"
AstraZeneca,Senate Majority PAC
AstraZeneca,"Lake, Kari"
AstraZeneca,"Jeffries, Hakeem"
AstraZeneca,"Pelosi, Nancy"
AstraZeneca,"Donalds, Byron"
AstraZeneca,"Rogers, Mike"
AstraZeneca,"Lyerly, Kristin"
AstraZeneca,Powered By People
AstraZeneca,DLCC PAC
AstraZeneca,"McBride, Sarah"
AstraZeneca,Indivisible Action
AstraZeneca,"Hayes, Jahana"
AstraZeneca,"Tranel, Monica"
AstraZeneca,"Barca, Peter William"
AstraZeneca,"Horn, Madison"
AstraZeneca,"Moore, Michael"
AstraZeneca,"Sheehy, Tim"
AstraZeneca,"Hurt, Erik David"
AstraZeneca,"Srivastava, Sandeep"
AstraZeneca,Westmoreland Democratic Cmte
AstraZeneca,"Patel, Bhavini"
AstraZeneca,"Lee, Barbara"
AstraZeneca,"Klobuchar, Amy"
AstraZeneca,"Greene, Marjorie Taylor"
AstraZeneca,"Harrigan, Pat"
AstraZeneca,"Booker, Cory"
AstraZeneca,"Gonzales, Tony"
AstraZeneca,"Trone, David"
AstraZeneca,"Johnson, Gloria"
AstraZeneca,"Kiley, Kevin"
AstraZeneca,"Young, Eugene"
AstraZeneca,"Tuberville, Tommy"
AstraZeneca,"Raskin, Jamie"
AstraZeneca,Protect the Vote
AstraZeneca,"Hill, Kyle"
AstraZeneca,"Omar, Ilhan"
AstraZeneca,"Paul, Rand"
AstraZeneca,"Warnock, Raphael"
AstraZeneca,"Whitesides, George"
AstraZeneca,Midwest Values PAC
AstraZeneca,"McCormick, Dave"
AstraZeneca,Champion American Values
AstraZeneca,"Mannion, John"
AstraZeneca,Our Great Task
AstraZeneca,"Whitehouse, Sheldon"
AstraZeneca,Democratic Party of Wisconsin
AstraZeneca,"McGovern, James P"
AstraZeneca,Campaign for Democracy PAC
AstraZeneca,"Biggs, Andy"
AstraZeneca,Frankman for Florida
AstraZeneca,"Kunce, Lucas"
AstraZeneca,"Jordan, Jim"
AstraZeneca,"Barrett, Tom"
AstraZeneca,"Merkley, Jeff"
AstraZeneca,"Hutchinson, W. Asa"
AstraZeneca,"Harris, Shawn"
AstraZeneca,"Hook Dr., Kristin"
AstraZeneca,National Democrats PAC
AstraZeneca,"Dixon, Gregg"
AstraZeneca,"LaLota, Nick"
AstraZeneca,"Blumenthal, Richard"
AstraZeneca,"Rogers, Michael"
AstraZeneca,"Frost, Maxwell"
AstraZeneca,Voters First Victory Fund
AstraZeneca,"Crane, Eli"
AstraZeneca,"Gillibrand, Kirsten"
AstraZeneca,"Gray, Adam"
AstraZeneca,"Bowman, Jamaal"
AstraZeneca,"Christie, Chris"
AstraZeneca,Moms Fed Up PAC
AstraZeneca,"Ossoff, Jon"
AstraZeneca,Serve America PAC
AstraZeneca,"Moulton, Seth"
AstraZeneca,"Schumer, Charles E"
AstraZeneca,"Kennedy, John"
AstraZeneca,"Elder, Larry"
AstraZeneca,"Dexter, Maxine"
AstraZeneca,Redwave America PAC                
AstraZeneca,AmeriPAC: The Fund for a Greater America
AstraZeneca,"Evans, Derrick"
AstraZeneca,CatholicVote.org
AstraZeneca,"Rosendale, Matt"
AstraZeneca,"Vance, J D"
AstraZeneca,"Jackson, Jeff"
AstraZeneca,"Peterson, Kaylee"
AstraZeneca,"White, Royce"
AstraZeneca,"Crockett, Jasmine"
AstraZeneca,"Sewell, Briana"
AstraZeneca,"Kelly, Mark"
AstraZeneca,"Hunt, Cheyenne"
AstraZeneca,"Hagerty, Bill"
AstraZeneca,"McCorkle, Ike"
AstraZeneca,"Pinkins, Ty"
AstraZeneca,"Garcia, Mike"
AstraZeneca,"McCray, Valerie"
AstraZeneca,November Coalition
AstraZeneca,"Scott, Rick"
AstraZeneca,"Lee, Summer"
AstraZeneca,Elect Dems Now PAC
AstraZeneca,"Martin, Isaiah"
AstraZeneca,"Rollins, Will"
AstraZeneca,"Calvarese, Trisha"
AstraZeneca,"Flores, Mayra"
AstraZeneca,"Roca, Mariela"
AstraZeneca,Black Men Vote
AstraZeneca,"James, John"
AstraZeneca,"Vogel, Joseph"
AstraZeneca,Republican Party of Virginia
AstraZeneca,"Cash, Tambrei"
AstraZeneca,Democratic Turnout Project PAC
AstraZeneca,"Pence, Mike"
AstraZeneca,"Morrison, Kelly"
AstraZeneca,"Hernandez Rivera, Pablo Jose"
AstraZeneca,Friends of Jimmy Patronis
AstraZeneca,"Conaway, Herb"
AstraZeneca,"Ehr, Phil"
AstraZeneca,"Hickenlooper, John"
AstraZeneca,"Eppler, Sam"
AstraZeneca,"Johnson, Ron"
AstraZeneca,"Stefanik, Elise"
AstraZeneca,"Sites, Jeffrey"
AstraZeneca,"Qarni, Atif"
AstraZeneca,"Fletcher, Lizzie"
AstraZeneca,"Valimont, Gay"
AstraZeneca,E-PAC
AstraZeneca,"Pugh, Pamela"
AstraZeneca,"Vasquez, Gabe"
AstraZeneca,"Sorensen, Eric"
AstraZeneca,Defense of Freedom PAC
AstraZeneca,"Schmitt, Eric"
AstraZeneca,"Landsman, Greg"
AstraZeneca,"Phillips, Dean"
AstraZeneca,"Tran, Derek"
AstraZeneca,Dirt Road Democrats PAC
AstraZeneca,"Balint, Becca"
AstraZeneca,Retired Dems 2024
AstraZeneca,Win the Era PAC
AstraZeneca,"Waltz, Michael"
AstraZeneca,"Pfluger, August"
AstraZeneca,"Gallagher, Mike"
AstraZeneca,"Masto, Catherine Cortez"
AstraZeneca,"Nouri, Preston"
AstraZeneca,"Salas, Rudy"
AstraZeneca,"Rashid, Qasim"
AstraZeneca,"Hurd, Will"
AstraZeneca,"Risch, James E"
AstraZeneca,"Elliott, Glenn Frederick Jr."
AstraZeneca,Parents' Voices Matter
AstraZeneca,"Harper, Hill"
AstraZeneca,Activate America
AstraZeneca,"Burrows, John"
AstraZeneca,Democrats 2024
AstraZeneca,"Burgum, Doug"
AstraZeneca,Battleground New York
AstraZeneca,"Fischer, Deb"
AstraZeneca,"Love, Preston Jr"
AstraZeneca,"Gleich, Caroline"
AstraZeneca,"Morrow, Scott"
AstraZeneca,Republican Party of Texas                         
AstraZeneca,"Lujan, Ben Ray"
AstraZeneca,"Ahmad, Mahnoor"
AstraZeneca,"Christiansen, Katrina"
AstraZeneca,"Bush, Cori"
AstraZeneca,"Cramer, Kevin"
AstraZeneca,"Romney, Mitt"
AstraZeneca,Progressive Majority PAC             
AstraZeneca,"Ricketts, Pete"
AstraZeneca,"Moreno, Bernie"
AstraZeneca,"Craighill-Middleton, Anduin"
AstraZeneca,"Kerr, Joseph"
AstraZeneca,"Kaptur, Marcy"
AstraZeneca,"Gonzalez, Vicente"
AstraZeneca,"Morse, Jessica"
AstraZeneca,"Vallejo, Michelle"
AstraZeneca,"Lee, Susie"
AstraZeneca,"Emmer, Tom"
AstraZeneca,Keeping Republican Ideas Strong Timely
BristolMyers,Republican National Cmte
BristolMyers,"Harris, Kamala"
BristolMyers,Democratic Senatorial Campaign Cmte
BristolMyers,Democratic Congressional Campaign Cmte
BristolMyers,National Republican Congressional Cmte
BristolMyers,National Republican Senatorial Cmte
BristolMyers,"Trump, Donald"
BristolMyers,DNC Services Corp
BristolMyers,Impact (Schumer)
BristolMyers,"Hudson, Richard"
BristolMyers,"Joyce, John"
BristolMyers,"Hogan, Larry"
BristolMyers,"Brown, Sherrod"
BristolMyers,"Cassidy, Bill"
BristolMyers,"Casey, Bob"
BristolMyers,"Coleman, Bonnie Watson"
BristolMyers,Bluegrass Cmte
BristolMyers,"Barrasso, John"
BristolMyers,"Smith, Jason"
BristolMyers,Holding Onto Oregon's Priorities
BristolMyers,"Guthrie, Brett"
BristolMyers,"DelBene, Suzan"
BristolMyers,Getting Stuff Done PAC
BristolMyers,"Emmer, Tom"
BristolMyers,Reclaim America PAC
BristolMyers,CMR PAC
BristolMyers,"Ruiz, Raul"
BristolMyers,"Davis, Don"
BristolMyers,ActBlue Non-Federal
BristolMyers,"Rosen, Jacky"
BristolMyers,"Menendez, Rob"
BristolMyers,"Kaine, Tim"
BristolMyers,Mr Southern Missourian in the House
BristolMyers,"Harshbarger, Diana"
BristolMyers,"Clark, Katherine"
BristolMyers,"Scalise, Steve"
BristolMyers,"Mullin, Kevin"
BristolMyers,"Smith, Adrian"
BristolMyers,"Marshall, Roger"
BristolMyers,Vote Blue Majority
BristolMyers,"Tester, Jon"
BristolMyers,"Eppler, Sam"
BristolMyers,"Gottheimer, Josh"
BristolMyers,"Mullin, Markwayne"
BristolMyers,"Kim, Andy"
BristolMyers,"Schneider, Brad"
BristolMyers,"Kelly, Robin"
BristolMyers,"Feenstra, Randy"
BristolMyers,"Arrington, Jodey"
BristolMyers,"Ferguson, Drew"
BristolMyers,"Sinema, Kyrsten"
BristolMyers,"Carter, Buddy"
BristolMyers,"Kean, Thomas H Jr"
BristolMyers,"Johnson, Mike"
BristolMyers,"Schumer, Charles E"
BristolMyers,"Duckworth, Tammy"
BristolMyers,"McCarthy, Kevin"
BristolMyers,"Wenstrup, Brad"
BristolMyers,"Neal, Richard E"
BristolMyers,"Comer, James"
BristolMyers,"Estes, Ron"
BristolMyers,Alamo PAC
BristolMyers,Heartland Values PAC
BristolMyers,"Steube, Greg"
BristolMyers,"Crapo, Mike"
BristolMyers,"Peters, Scott"
BristolMyers,"Palmer, Gary"
BristolMyers,"Hassan, Maggie"
BristolMyers,"Blackburn, Marsha"
BristolMyers,"DeGette, Diana"
BristolMyers,"McHenry, Patrick"
BristolMyers,"Sewell, Terri"
BristolMyers,"Bucshon, Larry"
BristolMyers,"Beatty, Joyce"
BristolMyers,"Aguilar, Pete"
BristolMyers,"Dunn, Neal"
BristolMyers,BRETTPAC
BristolMyers,Common Ground PAC
BristolMyers,Beyond Thoughts & Prayers PAC
BristolMyers,"Cotton, Tom"
BristolMyers,"Strickland, Marilyn"
BristolMyers,North Carolina Red
BristolMyers,"Hirono, Mazie K"
BristolMyers,"Obernolte, Jay"
BristolMyers,"Peters, Gary"
BristolMyers,"Schiff, Adam"
BristolMyers,"Murphy, Tammy"
BristolMyers,"Gallego, Ruben"
BristolMyers,"Baldwin, Tammy"
BristolMyers,"Murphy, Greg"
BristolMyers,"Hern, Kevin"
BristolMyers,"Miller-Meeks, Mariannette"
BristolMyers,"Griffith, Morgan"
BristolMyers,"Cammack, Kat"
BristolMyers,"Carey, Mike"
BristolMyers,"Miller, Carol"
BristolMyers,Carolina Victory Fund
BristolMyers,"Sherrill, Mikie"
BristolMyers,"Davids, Sharice"
BristolMyers,"Allred, Colin"
BristolMyers,"LaHood, Darin"
BristolMyers,Oorah! PAC
BristolMyers,"Curtis, John"
BristolMyers,"Peltola, Mary"
BristolMyers,"Crenshaw, Dan"
BristolMyers,New Millennium PAC
BristolMyers,TERRI PAC
BristolMyers,"Wyden, Ron"
BristolMyers,"Boyle, Brendan"
BristolMyers,First In Freedom PAC
BristolMyers,TKJ PAC
BristolMyers,"Sanchez, Linda"
BristolMyers,"Daines, Steven"
BristolMyers,"Ernst, Joni"
BristolMyers,Buddy PAC
BristolMyers,Rejoice PAC
BristolMyers,"Clyburn, James E"
BristolMyers,"Rodgers, Cathy McMorris"
BristolMyers,"Van Duyne, Beth"
BristolMyers,Supporting House Problem Solvers
BristolMyers,Together Holding Our Majority PAC
BristolMyers,"Eshoo, Anna"
BristolMyers,"Coons, Chris"
BristolMyers,"Armstrong, Kelly"
BristolMyers,"Kilmer, Derek"
BristolMyers,"Altman, Sue"
BristolMyers,Forward Blue
BristolMyers,"Haley, Nikki"
BristolMyers,"Moulton, Seth"
BristolMyers,"Horsford, Steven"
BristolMyers,"Letlow, Julia"
BristolMyers,"Kelly, Mike"
BristolMyers,"Veasey, Marc"
BristolMyers,"Plaskett, Stacey"
BristolMyers,"Correa, Lou"
BristolMyers,"Bilirakis, Gus"
BristolMyers,"Smucker, Lloyd"
BristolMyers,"Houlahan, Chrissy"
BristolMyers,"Dean, Madeleine"
BristolMyers,"Tenney, Claudia"
BristolMyers,"Malliotakis, Nicole"
BristolMyers,"Pfluger, August"
BristolMyers,"Clarke, Yvette"
BristolMyers,"Barragan, Nanette"
BristolMyers,"Moore, Blake"
BristolMyers,"Schweikert, David"
BristolMyers,"Buchanan, Vernon"
BristolMyers,"Steel, Michelle"
BristolMyers,"Mucarsel-Powell, Debbie"
BristolMyers,"Caraveo, Yadira"
BristolMyers,Democratic Party of Wisconsin
BristolMyers,"Slotkin, Elissa"
BristolMyers,"Vindman, Yevgeny 'Eugene'"
BristolMyers,Lank PAC
BristolMyers,"Bentz, Cliff"
BristolMyers,"Wild, Susan"
BristolMyers,"Booker, Cory"
BristolMyers,"Salinas, Andrea"
BristolMyers,"Hayes, Jahana"
BristolMyers,"Perez, Marie Gluesenkamp"
BristolMyers,"Kim, Young"
BristolMyers,"Kunce, Lucas"
BristolMyers,"Pelosi, Nancy"
BristolMyers,"Agwan, Pervez"
BristolMyers,"James, John"
BristolMyers,"Cruz, Ted"
BristolMyers,"Rochester, Lisa Blunt"
BristolMyers,"Conaway, Herb"
BristolMyers,"Whitesides, George"
BristolMyers,"Beyer, Don"
BristolMyers,"Pascrell, Bill Jr"
BristolMyers,"Cotter Smasal, Missy"
BristolMyers,"Lesko, Debbie"
BristolMyers,"Lankford, James"
BristolMyers,"Cardenas, Tony"
BristolMyers,"Moran, Jerry"
BristolMyers,"Johnson, Dusty"
BristolMyers,Continuing America's Strength & Security
BristolMyers,"Lee, Barbara"
BristolMyers,"Rogers, Mike"
BristolMyers,"Heinrich, Martin"
BristolMyers,"Johnson, Bill"
BristolMyers,"Payne, Donald M Jr"
BristolMyers,"Rounds, Mike"
BristolMyers,"Fischbach, Michelle"
BristolMyers,"Lofgren, Zoe"
BristolMyers,"Yakym, Rudy"
BristolMyers,"Thompson, Mike"
BristolMyers,"Bera, Ami"
BristolMyers,"Evans, Dwight"
BristolMyers,"Pence, Greg"
BristolMyers,"Goroff, Nancy"
BristolMyers,People In Rural Areas Transform Elections PAC
BristolMyers,"Fitzpatrick, Brian"
BristolMyers,"Gomez, Jimmy"
BristolMyers,Lead Encourage Elect PAC
BristolMyers,"Pallone, Frank Jr"
BristolMyers,"Banks, Jim"
BristolMyers,"Burchett, Tim"
BristolMyers,"Sanders, Bernie"
BristolMyers,Fair Fight PAC
BristolMyers,"Tlaib, Rashida"
BristolMyers,"Alsobrooks, Angela"
BristolMyers,"Mannion, John"
BristolMyers,"Kelly, Mark"
BristolMyers,"Sykes, Emilia"
BristolMyers,"Sheehy, Tim"
BristolMyers,PAC to the Future
BristolMyers,"Jeffries, Hakeem"
BristolMyers,"Porter, Katie"
BristolMyers,Newport Harbor Republican Women
BristolMyers,"Frisch, Adam"
BristolMyers,"Min, Dave"
BristolMyers,"Williamson, Marianne"
BristolMyers,"Davis, Wendy"
BristolMyers,"Ocasio-Cortez, Alexandria"
BristolMyers,Save America
BristolMyers,"Murphy, Christopher S"
BristolMyers,"Christie, Chris"
BristolMyers,Gay & Lesbian Victory Fund
BristolMyers,Democratic Party of North Carolina
BristolMyers,"Nez, Jonathan"
BristolMyers,"Lubin, Rob"
BristolMyers,Democratic Executive Cmte of Florida
BristolMyers,"Kennedy, John"
BristolMyers,"Lake, Kari"
BristolMyers,"Warnock, Raphael"
BristolMyers,"Dixon, Peter"
BristolMyers,"Xu, Kenneth"
BristolMyers,"Bhalla, Ravi"
BristolMyers,"Fetterman, John"
BristolMyers,"Landsman, Greg"
BristolMyers,"Collier, Matt"
BristolMyers,"Sorensen, Eric"
BristolMyers,"Lee, Susie"
BristolMyers,"DeSantis, Ron"
BristolMyers,"Vasquez, Gabe"
BristolMyers,"Ryan, Pat"
BristolMyers,"Fong, Vince"
BristolMyers,Activate America
BristolMyers,"Pappas, Chris"
BristolMyers,CAPA21
BristolMyers,"McBride, Sarah"
BristolMyers,Moveon.org
BristolMyers,"Omar, Ilhan"
